first_name,last_name,birth_date,from_date,to_date,title
Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Technique Leader
Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01,Senior Staff
Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01,Senior Engineer
Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01,Staff
Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Staff
Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01,Senior Staff
Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01,Senior Staff
Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01,Senior Engineer
Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01,Senior Staff
Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Senior Engineer
Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Staff
Keung,Neiman,1965-01-16,1997-04-13,9999-01-01,Staff
Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01,Assistant Engineer
Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01,Staff
Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01,Senior Staff
Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Engineer
Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Technique Leader
Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Engineer
Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01,Senior Staff
Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01,Engineer
Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Engineer
Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01,Senior Staff
Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Staff
Along,Erol,1965-01-15,1992-10-16,9999-01-01,Senior Staff
Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01,Engineer
Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Senior Staff
Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01,Staff
Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Senior Engineer
Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Senior Engineer
Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Engineer
Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01,Senior Staff
Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Assistant Engineer
Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Engineer
Bader,Denis,1965-01-15,1997-10-06,9999-01-01,Engineer
Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Senior Engineer
Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Staff
Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Assistant Engineer
Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Staff
Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Senior Staff
Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Engineer
Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Senior Engineer
Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01,Staff
Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01,Staff
Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Senior Staff
Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Senior Staff
Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01,Engineer
Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Engineer
Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
Ranga,Merro,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
Mang,Atchley,1965-01-26,1995-06-07,9999-01-01,Senior Staff
Claude,Candan,1965-01-22,1993-08-04,9999-01-01,Senior Staff
Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Senior Staff
Huei,Hutter,1965-01-20,1993-01-28,9999-01-01,Senior Engineer
Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Senior Engineer
Arie,Coullard,1965-02-01,2000-03-28,9999-01-01,Senior Staff
Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Technique Leader
Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01,Technique Leader
Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Senior Staff
Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Engineer
Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01,Staff
Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Engineer
Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01,Senior Staff
Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Engineer
Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01,Engineer
Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Engineer
Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01,Senior Staff
Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01,Engineer
Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Engineer
Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01,Engineer
Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01,Senior Staff
Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01,Senior Staff
Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01,Senior Staff
Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
Florina,Assaf,1965-01-29,1996-05-18,9999-01-01,Staff
Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Staff
Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01,Senior Staff
Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01,Staff
Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01,Senior Staff
Hisao,Peral,1965-01-19,1990-10-03,9999-01-01,Senior Engineer
Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Senior Engineer
Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01,Senior Staff
Mori,Homond,1965-01-22,1994-05-10,9999-01-01,Staff
Mantis,Millington,1965-01-14,1991-03-18,9999-01-01,Senior Staff
Adin,Templeman,1965-01-03,1999-08-12,9999-01-01,Engineer
Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01,Staff
Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Senior Staff
Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Engineer
Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Engineer
Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Engineer
Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01,Staff
Werner,Lodder,1965-01-29,1992-06-17,9999-01-01,Staff
Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Engineer
Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Engineer
Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Senior Engineer
Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01,Assistant Engineer
Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01,Engineer
Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Staff
Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01,Staff
Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Staff
Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Senior Staff
Ramya,Walston,1965-01-26,1989-02-03,9999-01-01,Staff
Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Senior Staff
Randi,Samarati,1965-01-24,1992-10-20,9999-01-01,Senior Staff
Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
Oksana,Baek,1965-01-19,1989-07-20,9999-01-01,Staff
Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Senior Engineer
Moty,Winter,1965-01-15,1991-04-28,9999-01-01,Technique Leader
Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Senior Staff
Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Assistant Engineer
Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Senior Staff
Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Senior Staff
Arco,Walston,1965-01-17,1999-08-16,9999-01-01,Engineer
Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Staff
Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Senior Staff
Akemi,Fujisaki,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Engineer
Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Staff
Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01,Senior Staff
Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
Anneli,Perl,1965-01-15,1992-09-08,9999-01-01,Senior Staff
Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Senior Staff
Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Engineer
Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Engineer
Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01,Engineer
Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Engineer
Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01,Senior Staff
Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Senior Engineer
Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Engineer
Isaac,Koshino,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01,Senior Staff
Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01,Senior Staff
Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Technique Leader
Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01,Senior Staff
Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01,Senior Staff
Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01,Staff
Susuma,Bergere,1965-01-22,1996-02-25,9999-01-01,Senior Staff
Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Senior Staff
Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01,Senior Staff
Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Engineer
Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01,Engineer
Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01,Engineer
Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Technique Leader
Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
Mary,Setiz,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01,Engineer
Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01,Staff
Youjian,Yetto,1965-01-31,1994-12-07,9999-01-01,Senior Staff
Limsoon,Skafidas,1965-01-31,1999-08-10,9999-01-01,Senior Staff
Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01,Engineer
Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Senior Staff
Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Engineer
Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Engineer
Zhiguo,Ariola,1965-01-13,1994-09-07,9999-01-01,Senior Staff
Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01,Engineer
Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Senior Staff
Baziley,Falck,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
Chinya,Kamble,1965-01-16,1992-05-31,9999-01-01,Senior Staff
Remko,Vieth,1965-01-07,1990-11-22,9999-01-01,Senior Staff
Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Engineer
Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Senior Staff
Larisa,Lukaszewicz,1965-01-27,1996-10-30,9999-01-01,Senior Staff
Phillip,Schade,1965-01-23,1989-03-03,9999-01-01,Engineer
Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01,Senior Staff
Dante,Covnot,1965-01-09,1989-05-28,9999-01-01,Senior Staff
Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Assistant Engineer
Shalesh,Lovengreen,1965-01-28,1990-09-29,9999-01-01,Senior Staff
Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01,Staff
Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01,Engineer
Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Senior Staff
Werner,Ranze,1965-01-31,1998-06-05,9999-01-01,Staff
Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Senior Engineer
Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Senior Engineer
Anwar,Bain,1965-01-07,1989-01-22,9999-01-01,Engineer
Leni,Henders,1965-01-11,1993-11-19,9999-01-01,Senior Staff
Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01,Senior Staff
Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01,Engineer
Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01,Engineer
Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Staff
Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Engineer
Armond,Perly,1965-02-01,1989-09-14,9999-01-01,Engineer
Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01,Senior Staff
Rayond,Klassen,1965-01-15,1993-09-11,9999-01-01,Staff
Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Engineer
Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01,Engineer
Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01,Senior Engineer
Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01,Engineer
Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Senior Engineer
Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01,Staff
Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01,Staff
Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Staff
Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01,Senior Staff
Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01,Senior Staff
Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01,Senior Engineer
Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Engineer
Ashish,Vidya,1965-01-29,1989-06-16,9999-01-01,Senior Engineer
Lena,Lenart,1965-01-22,1990-12-25,9999-01-01,Senior Staff
Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01,Staff
Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Senior Staff
Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Technique Leader
Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Staff
Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01,Engineer
Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Senior Engineer
Shay,Servieres,1965-02-01,1998-08-06,9999-01-01,Senior Staff
Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Technique Leader
Jiong,Garnham,1965-01-24,1990-01-02,9999-01-01,Staff
Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01,Engineer
Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Technique Leader
Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Engineer
Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Staff
Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Staff
Moie,Zastre,1965-01-22,1991-10-11,9999-01-01,Technique Leader
Susanna,Reeken,1965-01-16,1998-03-16,9999-01-01,Senior Staff
Demos,Asser,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Engineer
Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01,Staff
Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01,Senior Staff
Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Senior Staff
Yuping,Babb,1965-01-23,1995-01-31,9999-01-01,Senior Staff
Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01,Technique Leader
Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Staff
Perla,Orlowska,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Senior Engineer
Saddek,Farris,1965-01-13,1990-11-06,9999-01-01,Senior Staff
Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Engineer
Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Engineer
Sangeeta,Kalefeld,1965-01-17,1990-06-06,9999-01-01,Senior Staff
Stein,Uludag,1965-01-21,1988-01-30,9999-01-01,Staff
Miyeon,Billingsley,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
Matt,Chvatal,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
Valdiodio,Schlumberger,1965-01-15,1993-08-07,9999-01-01,Assistant Engineer
Badri,Schapire,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
Kazuhiko,Kushner,1965-01-22,1995-08-01,9999-01-01,Senior Engineer
Annemarie,Zallocco,1965-01-10,1996-12-01,9999-01-01,Engineer
Limsoon,Erol,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
Gopalakrishnan,Suermann,1965-01-28,1991-04-30,9999-01-01,Engineer
Leaf,Awdeh,1965-01-07,1992-10-02,9999-01-01,Senior Staff
Hidefumi,Moehrke,1965-01-20,1998-03-04,9999-01-01,Staff
Chiranjit,Dredge,1965-02-01,1999-09-05,9999-01-01,Technique Leader
Annemarie,Bressoud,1965-01-02,1998-06-23,9999-01-01,Engineer
Perry,Chachaty,1965-01-29,1985-07-22,9999-01-01,Engineer
True,Shobatake,1965-01-24,1996-05-17,9999-01-01,Senior Staff
George,Miake,1965-01-05,1988-01-02,9999-01-01,Senior Staff
Remmert,Quaggetto,1965-01-14,1992-04-28,9999-01-01,Staff
Masasuke,Genin,1965-01-13,1994-06-25,9999-01-01,Assistant Engineer
Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Engineer
Ramalingam,Remmele,1965-01-26,1999-09-03,9999-01-01,Senior Engineer
Mooi,Cooman,1965-01-19,1989-06-07,9999-01-01,Engineer
Giordano,Gini,1965-01-28,1993-08-14,9999-01-01,Technique Leader
Herbert,Erva,1965-01-07,1986-09-06,9999-01-01,Engineer
Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Engineer
Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Senior Engineer
Mikhail,Rousseau,1965-01-30,1998-11-30,9999-01-01,Staff
Garnik,Luce,1965-01-23,1998-09-15,9999-01-01,Staff
Francesca,Azuma,1965-01-26,1996-06-08,9999-01-01,Staff
IEEE,Kroll,1965-01-18,1998-02-17,9999-01-01,Engineer
Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Senior Staff
Bilhanan,Brendel,1965-01-03,1990-12-23,9999-01-01,Senior Staff
Nahla,Smailagic,1965-01-11,1993-02-12,9999-01-01,Engineer
Berry,Yurek,1965-01-08,1995-08-16,9999-01-01,Senior Staff
Fabrizio,Lichtman,1965-01-21,1987-02-09,9999-01-01,Engineer
Harjit,Terekhov,1965-01-27,1995-10-19,9999-01-01,Staff
Pohua,Tasistro,1965-01-03,1994-11-04,9999-01-01,Technique Leader
Paloma,Henseler,1965-01-15,1991-06-11,9999-01-01,Engineer
Gilbert,Kilgour,1965-01-11,1996-04-05,9999-01-01,Staff
Moni,Schach,1965-01-03,1986-07-04,9999-01-01,Staff
Ewing,Millington,1965-01-23,1999-09-28,9999-01-01,Engineer
Jamaludin,Fordan,1965-01-19,1992-02-06,9999-01-01,Engineer
Tadahiro,Backhouse,1965-01-07,1991-10-02,9999-01-01,Senior Engineer
Bezalel,Radivojevic,1965-01-31,1988-07-02,9999-01-01,Senior Staff
Renny,Alameldin,1965-01-14,1997-09-28,9999-01-01,Assistant Engineer
Yinghua,Lorho,1965-01-31,1991-08-09,9999-01-01,Senior Staff
Kolar,Puppo,1965-01-15,1990-04-25,9999-01-01,Engineer
Shahar,Negoita,1965-01-17,1994-03-19,9999-01-01,Staff
Dietrich,Crabtree,1965-01-14,1986-05-24,9999-01-01,Senior Staff
Takushi,Brattka,1965-01-02,1999-06-03,9999-01-01,Staff
Trygve,Siksek,1965-01-22,1995-11-09,9999-01-01,Staff
Nectarios,Pramanik,1965-01-28,1999-11-18,9999-01-01,Assistant Engineer
Chandrasekaran,Pearson,1965-01-07,1995-04-14,9999-01-01,Staff
Goetz,Alvarado,1965-01-28,1988-12-25,9999-01-01,Engineer
Etsuo,Anandan,1965-01-29,1989-12-13,9999-01-01,Staff
Nitsan,Rouquie,1965-01-11,1988-08-01,9999-01-01,Senior Engineer
Barry,Ramsak,1965-01-23,1990-09-07,9999-01-01,Engineer
Tesuya,Bugrara,1965-01-14,1993-02-13,9999-01-01,Assistant Engineer
Alselm,Gargeya,1965-01-20,1987-12-25,9999-01-01,Senior Engineer
Khalid,Lenart,1965-01-06,1995-12-24,9999-01-01,Engineer
Fay,Sundgren,1965-01-16,1990-07-07,9999-01-01,Staff
Etsuo,Usery,1965-01-12,1995-03-02,9999-01-01,Engineer
Cedric,Riefers,1965-01-17,1994-09-08,9999-01-01,Engineer
Zissis,Lodder,1965-01-14,2000-05-27,9999-01-01,Engineer
Kotesh,Chachaty,1965-01-20,1991-03-25,9999-01-01,Engineer
Baziley,Ballarin,1965-01-30,1987-07-28,9999-01-01,Staff
Kellie,Heydon,1965-01-01,1985-11-11,9999-01-01,Engineer
Luerbio,Terkki,1965-01-07,1991-05-14,9999-01-01,Senior Staff
Foong,Aamodt,1965-01-31,1986-06-28,9999-01-01,Senior Engineer
Irena,Dratva,1965-01-17,1991-09-07,9999-01-01,Senior Staff
Sverrir,Gyimothy,1965-01-21,1995-07-30,9999-01-01,Senior Staff
Gro,Prochazka,1965-01-06,1992-10-16,9999-01-01,Engineer
Anneli,Joslin,1965-01-09,1987-04-12,9999-01-01,Senior Engineer
Gio,Heuser,1965-01-05,1992-06-28,9999-01-01,Staff
Henk,Anger,1965-02-01,1993-01-19,9999-01-01,Senior Staff
Sampalli,Bergere,1965-01-17,1994-04-08,9999-01-01,Senior Engineer
Jayesh,Spinelli,1965-01-03,1999-01-16,9999-01-01,Senior Engineer
IEEE,Raczkowsky,1965-01-31,1996-07-24,9999-01-01,Technique Leader
Yechezkel,Maginnis,1965-01-17,1992-12-11,9999-01-01,Staff
Insup,Reinhard,1965-01-11,1985-04-08,9999-01-01,Staff
Almudena,Rijckaert,1965-01-28,1994-02-16,9999-01-01,Senior Engineer
Huan,Olivero,1965-01-27,1999-11-19,9999-01-01,Staff
Adel,Foote,1965-01-17,2000-03-20,9999-01-01,Staff
Miomir,Frezza,1965-01-12,1991-05-25,9999-01-01,Technique Leader
Uno,Suppi,1965-01-09,1996-12-27,9999-01-01,Staff
Vishv,Angelov,1965-01-10,1988-03-08,9999-01-01,Senior Staff
Minghong,Cronin,1965-01-09,1987-10-04,9999-01-01,Senior Staff
Tadahiko,Pocchiola,1965-01-11,1996-04-02,9999-01-01,Staff
Abdulla,Kitai,1965-01-13,1987-02-20,9999-01-01,Senior Staff
Susumu,Brender,1965-01-01,1993-04-17,9999-01-01,Senior Engineer
Vesna,Fairtlough,1965-01-08,2002-05-07,9999-01-01,Engineer
Sugwoo,Michaels,1965-01-04,1992-08-02,9999-01-01,Senior Engineer
Arunas,Bugrara,1965-01-15,1997-04-03,9999-01-01,Assistant Engineer
Bilhanan,Dusink,1965-01-23,1988-06-04,9999-01-01,Senior Staff
Oscal,Ernst,1965-01-30,1992-05-19,9999-01-01,Staff
Mizuhito,Kobara,1965-02-01,1996-08-09,9999-01-01,Senior Staff
True,Tischendorf,1965-01-24,1986-01-19,9999-01-01,Engineer
Kolar,Greenaway,1965-01-23,1998-11-14,9999-01-01,Staff
Mack,Staylopatis,1965-01-14,1985-04-02,9999-01-01,Engineer
Temple,Cyre,1965-01-02,1992-09-30,9999-01-01,Senior Staff
Francesca,Chorvat,1965-01-06,1992-03-17,9999-01-01,Senior Staff
Cedric,Molenaar,1965-01-23,1990-10-06,9999-01-01,Engineer
Jagoda,Anguita,1965-01-15,1993-05-11,9999-01-01,Senior Engineer
Uri,Lampe,1965-01-29,2001-12-11,9999-01-01,Senior Staff
Emran,Miara,1965-01-18,1989-05-02,9999-01-01,Engineer
Atilio,Olivero,1965-01-28,1985-09-04,9999-01-01,Engineer
Limsoon,Boudaillier,1965-01-30,1999-08-08,9999-01-01,Senior Engineer
Bluma,Fetvedt,1965-01-11,2001-11-14,9999-01-01,Senior Staff
Herb,Murrill,1965-01-09,2001-10-28,9999-01-01,Senior Engineer
Tomokazu,Pargas,1965-01-12,1996-11-15,9999-01-01,Engineer
Richara,Sudkamp,1965-01-05,1989-09-05,9999-01-01,Staff
Bingning,Iisaku,1965-01-08,1989-06-26,9999-01-01,Senior Staff
Kazuyasu,Levergood,1965-01-11,1996-02-10,9999-01-01,Engineer
Bowen,Deverell,1965-01-02,1998-12-27,9999-01-01,Senior Staff
Kazunori,Perz,1965-02-01,1999-02-25,9999-01-01,Senior Engineer
Abdulah,Lodder,1965-01-04,1996-11-10,9999-01-01,Senior Staff
Marjo,Delgrange,1965-01-16,1990-06-24,9999-01-01,Staff
Arch,Basawa,1965-01-09,1998-05-10,9999-01-01,Staff
